"station_id","year","avg_maxtemp","avg_mintemp","total_precipitation"
USC00110072,1985.0,153.3479452054794521,43.2644628099173554,7801
USC00110072,1986.0,126.9633699633699634,21.7619047619047619,5053
USC00110072,1987.0,177.6027397260273973,63.2986301369863014,7936
USC00110072,1988.0,173.4726775956284153,45.3497267759562842,5410
USC00110072,1989.0,156.5150684931506849,39.8356164383561644,7937
USC00110072,1990.0,169.0027397260273973,59.6027397260273973,11694
USC00110072,1991.0,164.1596638655462185,52.6129943502824859,7906
USC00110072,1992.0,149.9173553719008264,50.3784530386740331,9326
USC00110072,1993.0,139.5966386554621849,47.4532577903682720,14207
USC00110072,1994.0,149.6095505617977528,37.8941504178272981,6688
USC00110072,1995.0,150.0000000000000000,36.6685552407932011,9529
USC00110072,1996.0,137.6555555555555556,23.9695290858725762,8085
USC00110072,1997.0,146.8698060941828255,32.5861111111111111,7735
USC00110072,1998.0,172.1671641791044776,62.4688427299703264,11264
USC00110072,1999.0,163.5086206896551724,43.1810344827586207,9219
USC00110072,2000.0,145.4523809523809524,28.2713864306784661,8939
USC00110072,2001.0,157.0568181818181818,43.3446327683615819,11188
USC00110072,2002.0,156.1101694915254237,39.5887323943661972,10004
USC00110072,2003.0,148.3142857142857143,28.3960113960113960,9117
USC00110072,2004.0,148.9519774011299435,39.9577464788732394,9651
USC00110072,2005.0,161.6281690140845070,47.0085959885386819,6477
USC00110072,2006.0,161.8498583569405099,51.4016853932584270,8008
USC00110072,2007.0,155.2276657060518732,41.4899713467048711,8903
USC00110072,2008.0,143.4504249291784703,29.1086350974930362,12719
USC00110072,2009.0,144.0481586402266289,37.7239436619718310,13438
USC00110072,2010.0,153.1927710843373494,45.7259036144578313,11454
USC00110072,2011.0,154.1123287671232877,45.3890410958904110,8573
USC00110072,2012.0,173.9423076923076923,54.0412087912087912,7450
USC00110072,2013.0,152.6256983240223464,35.0586592178770950,8114
USC00110072,2014.0,138.0497237569060773,23.7071823204419890,9863
USC00110187,1985.0,192.6537396121883657,78.1052631578947368,14655
USC00110187,1986.0,203.7445054945054945,88.1483516483516484,12013
USC00110187,1987.0,209.4958677685950413,87.2390109890109890,9492
USC00110187,1988.0,200.3379120879120879,75.2994505494505495,11046
USC00110187,1989.0,191.1274238227146814,74.1694444444444444,10501
USC00110187,1990.0,205.3370473537604457,87.6123595505617978,14862
USC00110187,1991.0,202.1043956043956044,95.2692307692307692,11644
USC00110187,1992.0,195.5013698630136986,85.1068493150684932,9136
USC00110187,1993.0,187.0054794520547945,82.4395604395604396,14851
USC00110187,1994.0,194.3351800554016620,84.2209944751381215,11717
USC00110187,1995.0,196.1785714285714286,74.0550964187327824,10849
USC00110187,1996.0,190.0901639344262295,62.8715846994535519,12124
USC00110187,1997.0,188.5150684931506849,67.5534246575342466,12432
USC00110187,1998.0,210.0498614958448753,82.7383720930232558,12611
USC00110187,1999.0,212.8273972602739726,79.8986301369863014,11224
USC00110187,2000.0,199.9252077562326870,77.4432132963988920,12427
USC00110187,2001.0,201.2724719101123596,75.8816901408450704,13058
USC00110187,2002.0,201.2513966480446927,76.9273743016759777,15630
USC00110187,2003.0,194.7802197802197802,65.1565934065934066,12371
USC00110187,2004.0,199.3780821917808219,74.2430939226519337,11748
USC00110187,2005.0,205.2729805013927577,80.4621848739495798,11405
USC00110187,2006.0,201.5847457627118644,71.7723342939481268,15420
USC00110187,2007.0,214.3846153846153846,79.0569800569800570,11678
USC00110187,2008.0,176.0029850746268657,55.0955223880597015,16538
USC00110187,2009.0,206.2515151515151515,90.6090909090909091,13260
USC00110187,2010.0,213.1325966850828729,86.9806629834254144,10248
USC00110187,2011.0,212.1205479452054795,99.5616438356164384,18476
USC00110187,2012.0,222.2163934426229508,93.9475409836065574,7825
USC00110187,2013.0,204.6227272727272727,92.8772727272727273,7707
USC00110338,1985.0,144.2520547945205479,29.7068493150684932,9516
USC00110338,1986.0,154.0801886792452830,33.6933962264150943,4156
USC00110338,1987.0,150.7734138972809668,43.4101796407185629,11100
USC00110338,1988.0,161.9262295081967213,33.3415300546448087,7876
USC00110338,1989.0,147.7472527472527473,21.8986301369863014,7968
USC00110338,1990.0,162.8388059701492537,45.8626865671641791,12136
USC00110338,1991.0,167.1589041095890411,46.7068493150684932,9074
USC00110338,1992.0,147.3910614525139665,41.7534626038781163,9356
USC00110338,1993.0,152.2347560975609756,50.5531914893617021,9031
USC00110338,1994.0,154.5934065934065934,27.8622589531680441,9075
USC00110338,1995.0,153.4198895027624309,42.0845481049562682,10011
USC00110338,1996.0,144.5595567867036011,24.8956043956043956,12045
USC00110338,1997.0,149.5013774104683196,29.5027472527472527,8190
USC00110338,1998.0,175.0275482093663912,53.0328767123287671,10786
USC00110338,1999.0,167.2931506849315068,32.3671232876712329,9019
USC00110338,2000.0,158.0716253443526171,26.9696969696969697,9314
USC00110338,2001.0,166.7671232876712329,40.8947368421052632,9687
USC00110338,2002.0,164.7890410958904110,64.0739726027397260,7622
USC00110338,2003.0,154.7170329670329670,49.8876712328767123,9996
USC00110338,2004.0,153.2039660056657224,53.0566572237960340,8757
USC00110338,2005.0,161.6027397260273973,59.0767123287671233,5932
USC00110338,2006.0,160.6410958904109589,62.9615384615384615,9972
USC00110338,2007.0,158.6958904109589041,57.0684931506849315,9460
USC00110338,2008.0,144.5714285714285714,40.9587912087912088,11281
USC00110338,2009.0,142.6011080332409972,43.7500000000000000,11461
USC00110338,2010.0,159.2390109890109890,47.8774928774928775,10376
USC00110338,2011.0,152.4794520547945205,54.7445054945054945,10458
